Data (ano/mês/dia),Distância entre a Terra e a Lua (em UA), Constelação que a Lua estará
2019/11/22, 0.002456909976899624, ('Vir' - 'Virgo')
2019/11/23, 0.0024516950361430645, ('Vir' - 'Virgo')
2019/11/24, 0.0024530021473765373, ('Vir' - 'Virgo')
2019/11/25, 0.002461800817400217, ('Lib' - 'Libra')
2019/11/26, 0.0024783897679299116, ('Lib' - 'Libra')
2019/11/27, 0.002502209972590208, ('Oph' - 'Ophiuchus')
2019/11/28, 0.0025318297557532787, ('Oph' - 'Ophiuchus')
2019/11/29, 0.0025651012547314167, ('Sgr' - 'Sagittarius')
2019/11/30, 0.002599437953904271, ('Sgr' - 'Sagittarius')
2019/12/1, 0.0026321369223296642, ('Cap' - 'Capricornus')
2019/12/2, 0.0026606805622577667, ('Cap' - 'Capricornus')
2019/12/3, 0.0026829729322344065, ('Aqr' - 'Aquarius')
2019/12/4, 0.0026975006330758333, ('Aqr' - 'Aquarius')
2019/12/5, 0.0027034226804971695, ('Aqr' - 'Aquarius')
2019/12/6, 0.00270059728063643, ('Psc' - 'Pisces')
2019/12/7, 0.002689559478312731, ('Cet' - 'Cetus')
2019/12/8, 0.002671453170478344, ('Psc' - 'Pisces')
2019/12/9, 0.002647917252033949, ('Cet' - 'Cetus')
2019/12/10, 0.00262093055061996, ('Ari' - 'Aries')
2019/12/11, 0.002592612523585558, ('Tau' - 'Taurus')
2019/12/12, 0.0025650025345385075, ('Tau' - 'Taurus')
2019/12/13, 0.0025398405268788338, ('Gem' - 'Gemini')
2019/12/14, 0.002518388908356428, ('Gem' - 'Gemini')
2019/12/15, 0.0025013412814587355, ('Cnc' - 'Cancer')
2019/12/16, 0.002488843398168683, ('Cnc' - 'Cancer')
2019/12/17, 0.0024806230794638395, ('Leo' - 'Leo')
2019/12/18, 0.0024761983659118414, ('Leo' - 'Leo')
2019/12/19, 0.0024751012679189444, ('Vir' - 'Virgo')
2019/12/20, 0.0024770612362772226, ('Vir' - 'Virgo')
2019/12/21, 0.002482092473655939, ('Vir' - 'Virgo')
2019/12/22, 0.002490466460585594, ('Lib' - 'Libra')
2019/12/23, 0.0025025783106684685, ('Lib' - 'Libra')
2019/12/24, 0.0025187411811202765, ('Sco' - 'Scorpius')
2019/12/25, 0.0025389709044247866, ('Oph' - 'Ophiuchus')
2019/12/26, 0.0025628155563026667, ('Sgr' - 'Sagittarius')
2019/12/27, 0.0025892809499055147, ('Sgr' - 'Sagittarius')
2019/12/28, 0.0026168671902269125, ('Sgr' - 'Sagittarius')
2019/12/29, 0.0026437013875693083, ('Cap' - 'Capricornus')
2019/12/30, 0.0026677357964217663, ('Cap' - 'Capricornus')
2019/12/31, 0.0026869666762650013, ('Aqr' - 'Aquarius')
2020/1/1, 0.0026996415108442307, ('Aqr' - 'Aquarius')
,,
,,
# LISTA EM ÓRDEM CRESCENTE DE DISTÂNCIA (Perigeu no topo),,
2019/2/19, 0.0023857566993683577, ('Leo' - 'Leo')
2019/2/20, 0.002387415850535035, ('Leo' - 'Leo')
2019/8/31, 0.00238832738250494, ('Leo' - 'Leo')
2019/1/22, 0.0023888694122433662, ('Cnc' - 'Cancer')
2019/8/30, 0.0023904573172330856, ('Leo' - 'Leo')
2019/9/28, 0.002391824498772621, ('Vir' - 'Virgo')
2019/1/21, 0.002393268747255206, ('Gem' - 'Gemini')
